marca,profile,shortcode,url,views,clasificacion,confianza,frase_gancho,razon,atributo_tecnico,beneficio_operativo,valor_emocional,mensaje_principal,submensaje,cta,comentarios,log_views,tier_views
EMAQ Industrial,emaq_industrial,CnSsSG_NRCW,https://www.instagram.com/emaq_industrial/reel/CnSsSG_NRCW/,5509,CARACTERÍSTICA,baja,,"Caption es solo hashtags sobre hornos para tortillas/tacos. Sin texto, solo categoría del equipo.",,,,,,,,3.741151598851785,Bajo
EMAQ Industrial,emaq_industrial,CmcSMM8NqMd,https://www.instagram.com/emaq_industrial/reel/CmcSMM8NqMd/,4939,CARACTERÍSTICA,baja,,Caption es solo hashtags sobre peladora de papas industrial. Sin contexto narrativo.,,,,,,,,3.693726948923647,Bajo
EMAQ Industrial,emaq_industrial,Cv8AefbJ-06,https://www.instagram.com/emaq_industrial/reel/Cv8AefbJ-06/,4819,CARACTERÍSTICA,baja,,"Hashtag #comohacerarepas más lista de equipos para arepas. No hay texto, solo nombres de equipo.",,,,,,,,3.6830470382388496,Bajo
EMAQ Industrial,emaq_industrial,ClEcJEMJaBe,https://www.instagram.com/emaq_industrial/reel/ClEcJEMJaBe/,4760,CARACTERÍSTICA,alta,Hornos industriales de túnel.,Encabezado nombra explícitamente la línea de equipos (hornos de túnel). Sin lenguaje de beneficio para el cliente.,,,,,,,,3.6776981814745104,Bajo
EMAQ Industrial,emaq_industrial,C7XufLupUTg,https://www.instagram.com/emaq_industrial/reel/C7XufLupUTg/,4183,CARACTERÍSTICA,alta,Equipo industrial para laminado y corte de masas de trigo en alta producción.,"Descripción del equipo y su uso técnico. ""Alta producción"" funciona como rasgo del equipo, no como promesa al negocio.",,,,,,,,3.621591675859218,Bajo
EMAQ Industrial,emaq_industrial,DR0CztED_EK,https://www.instagram.com/emaq_industrial/reel/DR0CztED_EK/,1429,CARACTERÍSTICA,alta,Laminadora tortillas y totopos.,"Frase nombra la máquina y su aplicación. Foco en el equipo, sin mención al cliente.",,,,,,,,3.155336037465062,Bajo
Ferrero Machines,ferrero_machines,DUmUH0Mkr0d,https://www.instagram.com/ferrero_machines/reel/DUmUH0Mkr0d/,7108,VALOR,alta,"Miles de kilómetros, un mismo propósito.","El hook abre con propósito y el cuerpo cuenta la historia de visitar emprendedores en EE.UU., sus familias y cocinas reales. La máquina es soporte; el protagonista es la identidad y los sueños del cliente.",,,,,,,,3.8518085142282374,Bajo
Ferrero Machines,ferrero_machines,DXK1owekghZ,https://www.instagram.com/ferrero_machines/reel/DXK1owekghZ/,6171,VALOR,media,Vinimos a ver la producción y terminamos enamorados de la mega empanada.,"Anécdota emocional de visita a un cliente, sin spec ni promesa económica. La empanada y la experiencia son el centro.",,,,,,,,3.7904259173911106,Bajo
Ferrero Machines,ferrero_machines,DXP4GHClEEu,https://www.instagram.com/ferrero_machines/reel/DXP4GHClEEu/,5585,VALOR,baja,"""Quiero una empanada de Ferrico y Querrero"".",Es un meme/momento de marca (juego de palabras con Ferrero y Querrico). Sin contenido sobre la máquina ni sobre rendimiento.,,,,,,,,3.747100931364986,Bajo
Ferrero Machines,ferrero_machines,DVwO4OQlJ5b,https://www.instagram.com/ferrero_machines/reel/DVwO4OQlJ5b/,5298,BENEFICIO,alta,"Cuando tu negocio crece, necesitas algo más que esfuerzo.","El cuerpo describe cómo Don Gil ordenó su operación: eliminar cuellos de botella, tecnificar procesos, sostener crecimiento. Todo es impacto operacional sobre el negocio del cliente.",,,,,,,,3.7241939195143297,Bajo
Ferrero Machines,ferrero_machines,DV90aDQDNpw,https://www.instagram.com/ferrero_machines/reel/DV90aDQDNpw/,5092,CARACTERÍSTICA,alta,Así es un día en la vida de una empanada deliciosamente crocante.,"Detalla el funcionamiento paso a paso de la máquina (tolva, estirado, corte, relleno, sellado). El protagonista es el proceso productivo del equipo.",,,,,,,,3.7069736761761782,Bajo
Ferrero Machines,ferrero_machines,DUwcmCNkfN2,https://www.instagram.com/ferrero_machines/reel/DUwcmCNkfN2/,4691,VALOR,baja,A veces algo que amás está solo a un pito de distancia.,"Frase emocional/poética sin spec ni promesa económica. Es un momento de marca, no un mensaje funcional.",,,,,,,,3.671358003443492,Bajo
Ferrero Machines,ferrero_machines,DXIh672sUna,https://www.instagram.com/ferrero_machines/reel/DXIh672sUna/,4280,VALOR,baja,Este jueves 16 de abril tenemos empanadas GRATIS en Dosquebradas.,Anuncio de activación comunitaria con regalo de empanadas. No habla del equipo ni del negocio del cliente; construye comunidad y momento.,,,,,,,,3.631545227834309,Bajo
Ferrero Machines,ferrero_machines,DWXS5fND9TS,https://www.instagram.com/ferrero_machines/reel/DWXS5fND9TS/,3559,BENEFICIO,alta,"8 años haciendo empanadas a mano: dolor en la muñeca y jornadas hasta las 4 p.m. Hoy termina a las 11:30 AM, sin dolor y con el doble de producción.","Comparación directa antes/después en términos de jornada laboral, dolor físico y volumen producido. El argumento es 100% impacto operacional sobre el negocio.",,,,,,,,3.5514499979728753,Bajo
Ferrero Machines,ferrero_machines,DVPEdlFgpqB,https://www.instagram.com/ferrero_machines/reel/DVPEdlFgpqB/,3263,BENEFICIO,alta,Tu producción no puede depender de la asistencia de 1 operario.,"Argumenta sobre cuello de botella, dependencia de personal, ventas perdidas y horas extra. Promesa explícita: blindar el negocio del cliente.",,,,,,,,3.5137501500818233,Bajo
Ferrero Machines,ferrero_machines,DWC0rdkNqGz,https://www.instagram.com/ferrero_machines/reel/DWC0rdkNqGz/,3080,VALOR,alta,A veces los sueños solo necesitan una oportunidad… y un buen impulso.,"Historia de Don José desde Anserma: tradición familiar, sabor de casa, sueños que crecen. El centro es la identidad y aspiración del emprendedor, no la máquina.",,,,,,,,3.4886916983169405,Bajo
Ferrero Machines,ferrero_machines,DUt_KfegUob,https://www.instagram.com/ferrero_machines/reel/DUt_KfegUob/,2942,BENEFICIO,alta,"A veces no necesitas cambiar tu receta, solo cambiar la forma. Con moldes personalizados, tus ideas se convierten en ventas.","Caso 14 de febrero con molde de corazón: 1 hora de producción, vendidos todos. Cierra con ""tus ideas se convierten en ventas"" — promesa económica directa.",,,,,,,,3.468790262099611,Bajo
Ferrero Machines,ferrero_machines,DU1dXwNCcK0,https://www.instagram.com/ferrero_machines/reel/DU1dXwNCcK0/,2305,VALOR,alta,"Detrás de cada máquina hay personas. No solo construimos equipos industriales: construimos confianza, procesos y relaciones duraderas.","Manifiesto de identidad de marca centrado en el equipo humano y los valores (""escuchar, diseñar, fabricar, asesorar, acompañar""). No hay spec ni cifras de negocio.",,,,,,,,3.36285930295868,Bajo
Ferrero Machines,ferrero_machines,DUUMnwyE3ZM,https://www.instagram.com/ferrero_machines/reel/DUUMnwyE3ZM/,2157,VALOR,alta,Descubriendo el talento detrás de las máquinas.,"Capítulo sobre los roles del equipo Ferrero y la forma de trabajar (""escuchar, acompañar, escalar""). Identidad organizacional, no rasgo de máquina ni promesa económica.",,,,,,,,3.334051440346892,Bajo
Ferrero Machines,ferrero_machines,DVKLBqhgDlT,https://www.instagram.com/ferrero_machines/reel/DVKLBqhgDlT/,2010,VALOR,alta,"65 años de sabor y tradición en Cali. Para crecer, hay que cuidar a quienes hacen todo posible.","La cifra de 11.000 unidades aparece, pero el argumento central es ""tecnificarse es sinónimo de cuidar a tu gente"": tradición, equipo humano, propósito. Lo económico es subordinado a la identidad.",,,,,,,,3.303412070596742,Bajo
Ferrero Machines,ferrero_machines,DXXymu2sofk,https://www.instagram.com/ferrero_machines/reel/DXXymu2sofk/,1889,BENEFICIO,baja,Adquiere la tuya con precios del 2025 antes del 30 de abril.,Mensaje promocional de precio antes de aumento. El único argumento es ahorro económico inmediato.,,,,,,,,3.2764618041732443,Bajo
Ferrero Machines,ferrero_machines,DVZmobYDhcY,https://www.instagram.com/ferrero_machines/reel/DVZmobYDhcY/,1851,VALOR,alta,"No se trata solo de fabricar máquinas: se trata de pensar, ajustar y crear soluciones que realmente funcionen.","Manifiesto sobre la forma de trabajar de Ferrero (""ingeniería que escucha"", ""manos con experiencia""). Habla de identidad y filosofía, no de spec ni de retorno al cliente.",,,,,,,,3.2676409823459154,Bajo
Ferrero Machines,ferrero_machines,DT0MghRlXLM,https://www.instagram.com/ferrero_machines/reel/DT0MghRlXLM/,1695,BENEFICIO,alta,¿Empanadas bonitas o empanadas que producen dinero?,"Aunque el cuerpo lista features (calidad de cierre, moldes intercambiables, control de velocidad), el hook y el cierre giran sobre productividad y crecimiento del negocio. Marco BENEFICIO con detalle técnico de soporte.",,,,,,,,3.229425847920695,Bajo
Ferrero Machines,ferrero_machines,DW2TTPJiaHZ,https://www.instagram.com/ferrero_machines/reel/DW2TTPJiaHZ/,1643,VALOR,alta,La empanada ha viajado más de lo que muchos imaginan.,"Reflexión cultural sobre la empanada como identidad latina, historia familiar y tradición. Sin mención al equipo ni al rendimiento.",,,,,,,,3.215901813204032,Bajo
Ferrero Machines,ferrero_machines,DWSUlshlL5Q,https://www.instagram.com/ferrero_machines/reel/DWSUlshlL5Q/,1442,BENEFICIO,alta,"Le dijeron que la máquina no servía… pero en segundos quedó sin palabras. Menos desperdicio, más producción.","Hook de objeción + remate cuantitativo: menos desperdicio, más producción. Promesa económica/operacional directa al cliente.",,,,,,,,3.159266331093494,Bajo
Ferrero Machines,ferrero_machines,DW91-GVCnHs,https://www.instagram.com/ferrero_machines/reel/DW91-GVCnHs/,1259,CARACTERÍSTICA,media,"Si tu empanada sale grasosa, pesada y chorreando aceite, el problema casi nunca es el relleno.",Tip técnico sobre temperatura de fritura y sellado de masa. No habla del negocio del cliente ni de identidad: explica un detalle técnico del proceso.,,,,,,,,3.100370545117563,Bajo
Ferrero Machines,ferrero_machines,DXj3cgUu4Ql,https://www.instagram.com/ferrero_machines/reel/DXj3cgUu4Ql/,457,VALOR,baja,Te doy la mejor atención: por esta razón destinamos este canal oficial para que puedas comunicarte directamente con tu Experto.,"Mensaje sobre cuidado y atención personalizada al cliente. La promesa es relacional (""tu Experto""), no de spec ni de rendimiento económico.",,,,,,,,2.660865478003869,Bajo
Manos Criollas USA,manoscriollasusa,DXItk1AjYal,https://www.instagram.com/manoscriollasusa/reel/DXItk1AjYal/,1100000,BENEFICIO,media,Ahora mismo la IA puede ser tu mejor amigo o amiga: todo lo que puedas aprender va a ser muy beneficioso para tu negocio.,"Tip dirigido al emprendedor sobre cómo la IA puede impactar el negocio. Promesa explícita: ""será beneficioso para tu negocio"".",,,,,,,,6.041393079971211,Viral
Manos Criollas USA,manoscriollasusa,DXNVGpLAU90,https://www.instagram.com/manoscriollasusa/reel/DXNVGpLAU90/,209000,VALOR,alta,"Así comenzó todo: un sueño que se fue haciendo realidad paso a paso, con manos, esfuerzo y personas extraordinarias a mi lado.","Testimonio fundacional: tropiezos, fe, perseverancia, agradecimiento. Identidad personal de la fundadora como núcleo del mensaje, sin spec ni promesa económica.",,,,,,,,5.3201483640701115,Alto
Manos Criollas USA,manoscriollasusa,DXKtblGAcrK,https://www.instagram.com/manoscriollasusa/reel/DXKtblGAcrK/,109000,VALOR,alta,"La conocí en octubre de 2021. Más que una máquina, fue mi socia: siempre estuvo ahí, empujándome a producir.","La máquina aparece personificada como ""socia"" en una historia de mudanzas y fábrica casera. El argumento es relacional/identitario: confianza, tradición, gratitud — no spec ni cifras de rendimiento.",,,,,,,,5.037430482275392,Alto
Manos Criollas USA,manoscriollasusa,DWmrDjJAbKD,https://www.instagram.com/manoscriollasusa/reel/DWmrDjJAbKD/,45900,BENEFICIO,media,Mira lo que puede pasar cuando tienes una masa perfecta y una máquina eficiente como esta.,"El argumento es ""no se trata solo de hacer empanadas, se trata de lograr consistencia, velocidad y un producto que destaque"". Foco en outcomes operacionales para quien produce.",,,,,,,,4.661822147187612,Medio
Manos Criollas USA,manoscriollasusa,DQMHtGbjqaQ,https://www.instagram.com/manoscriollasusa/reel/DQMHtGbjqaQ/,37200,VALOR,media,Nuestra primera máquina… y aún después de 4 años sigue con nosotros.,"Nostalgia y testimonio de fidelidad sobre ""la primera máquina"". El frame es relacional/historia, con un cierre de recomendación al final.",,,,,,,,4.570554614307831,Medio
Manos Criollas USA,manoscriollasusa,DWu-yFSjQVn,https://www.instagram.com/manoscriollasusa/reel/DWu-yFSjQVn/,34600,VALOR,baja,Una semana espléndida. Gracias mi gente bella.,Saludo comunitario de agradecimiento a la audiencia. Sin contenido de producto ni spec.,,,,,,,,4.539088650475033,Medio
Manos Criollas USA,manoscriollasusa,DW3h9C0gATf,https://www.instagram.com/manoscriollasusa/reel/DW3h9C0gATf/,33100,VALOR,baja,Feliz Día Internacional de la Empanada — ¿puedes adivinar cuántas empanadas hay en el carrito?,"Concurso comunitario de adivinanza con premios. Activación de marca sobre identidad/tradición del producto, no sobre máquina ni negocio del cliente.",,,,,,,,4.519841114256737,Medio
Manos Criollas USA,manoscriollasusa,DXVl0Q-jTTz,https://www.instagram.com/manoscriollasusa/reel/DXVl0Q-jTTz/,27400,VALOR,alta,Qué alegría volver a compartir con mi gente de Puerto Rico. Tres años después y la receptividad fue increíble.,Crónica emocional del reencuentro con la comunidad puertorriqueña. Identidad y comunidad como núcleo del mensaje.,,,,,,,,4.437766412694732,Medio
Manos Criollas USA,manoscriollasusa,DWowvihDdfM,https://www.instagram.com/manoscriollasusa/reel/DWowvihDdfM/,25200,VALOR,baja,Feliz mediodía para todos. Gracias por preferirnos.,Saludo relacional a la audiencia. Sin contenido funcional sobre el producto.,,,,,,,,4.401417774347623,Medio
Manos Criollas USA,manoscriollasusa,DXA_aB6Df27,https://www.instagram.com/manoscriollasusa/reel/DXA_aB6Df27/,22100,CARACTERÍSTICA,alta,"Masa 100% maíz, sin gluten, sin conservantes, sin aditivos. La hacemos de manera artesanal.","Listado de atributos del producto (composición y proceso). Foco en qué es la empanada, no en cómo impacta al consumidor o en historia.",,,,,,,,4.344411924574547,Medio
Manos Criollas USA,manoscriollasusa,DXl5nv8jhck,https://www.instagram.com/manoscriollasusa/reel/DXl5nv8jhck/,20600,BENEFICIO,baja,Ayúdame a describir este video con una palabra. ¿Qué crees que podremos producir ahora?,"Teaser de engagement que insinúa mejora de capacidad productiva, pero sin desarrollarla. Lectura tentativa hacia BENEFICIO por la mención a producción.",,,,,,,,4.313888302113868,Medio
Manos Criollas USA,manoscriollasusa,DWxeT1IDdD-,https://www.instagram.com/manoscriollasusa/reel/DWxeT1IDdD-/,17900,CARACTERÍSTICA,alta,"Empanadas 100% maíz, ricas y crujientes. Gluten free, sin conservantes ni aditivos.","Atributos del producto + servicio de envío. Centrado en qué se entrega, no en transformación del consumidor o relato.",,,,,,,,4.252877292563761,Bajo
Manos Criollas USA,manoscriollasusa,DXTBzMEjcEl,https://www.instagram.com/manoscriollasusa/reel/DXTBzMEjcEl/,16200,VALOR,alta,"Mi abuela, mi mamá y mis tías me enseñaron a raspar esta mazorca.","Memoria familiar y transmisión generacional (""nunca olvidemos de dónde venimos""). Identidad y raíces como núcleo, no spec ni rendimiento.",,,,,,,,4.2095418220166,Bajo
Manos Criollas USA,manoscriollasusa,DXnlxhsDRpF,https://www.instagram.com/manoscriollasusa/reel/DXnlxhsDRpF/,15500,CARACTERÍSTICA,baja,También puedes hacer tus empanadas con harina pan.,Mención corta sobre alternativa de insumo + plug del curso. Apenas describe una posibilidad técnica.,,,,,,,,4.190359716265324,Bajo
Manos Criollas USA,manoscriollasusa,DW72VaYjSax,https://www.instagram.com/manoscriollasusa/reel/DW72VaYjSax/,14800,BENEFICIO,baja,"Se te vuelve un desastre la cocina, pero te gustan fritas: aquí te enseño mi manera de freírlas en casa.",Tip práctico que resuelve un problema del consumidor (caos en la cocina). Lectura como BENEFICIO al usuario final más que rasgo del producto.,,,,,,,,4.170291058625393,Bajo
Manos Criollas USA,manoscriollasusa,DWfd4RRDZKw,https://www.instagram.com/manoscriollasusa/reel/DWfd4RRDZKw/,13800,BENEFICIO,baja,"Te muestro otra forma de congelarlas, sin envolver una a una.",Tip práctico de almacenamiento que ahorra tiempo al consumidor. Promesa: menos trabajo manual al congelar.,,,,,,,,4.139910555875683,Bajo
Manos Criollas USA,manoscriollasusa,DWkqZULDQv8,https://www.instagram.com/manoscriollasusa/reel/DWkqZULDQv8/,11400,VALOR,alta,"Hace un año, en marzo de 2025, di un paso que cambió mi vida: entré a la cocina de Orlando Kitchen.","Testimonio personal de transformación, fe y agradecimiento. Identidad y trayectoria como protagonistas absolutos.",,,,,,,,4.056942945672877,Bajo
Manos Criollas USA,manoscriollasusa,DW2qZFsDEYE,https://www.instagram.com/manoscriollasusa/reel/DW2qZFsDEYE/,10400,CARACTERÍSTICA,media,También suenan cuando están frías. Empanadas 100% maíz.,Atributo sensorial del producto (crocancia incluso en frío) + composición. Foco en qué es la empanada.,,,,,,,,4.017075096376059,Bajo
Manos Criollas USA,manoscriollasusa,DW7OB9CASEg,https://www.instagram.com/manoscriollasusa/reel/DW7OB9CASEg/,10300,VALOR,alta,"Sacrificio hoy, recompensa mañana. Cada vez que nos eligen nos esforzamos más: constancia, dedicación y amor en cada empanada.","Manifiesto de valores de marca (esfuerzo, dedicación, amor). No habla de spec ni de rendimiento, sino de identidad.",,,,,,,,4.01287938717129,Bajo
Manos Criollas USA,manoscriollasusa,DWpUjHfgfpu,https://www.instagram.com/manoscriollasusa/reel/DWpUjHfgfpu/,10000,VALOR,media,"Te invito a nuestro Curso Online — Del grano a la masa, nuestro legado.","Anuncio de curso enmarcado como ""legado"" — el frame es transmisión de identidad/tradición, no funcionalidad económica.",,,,,,,,4.000043427276863,Bajo
Manos Criollas USA,manoscriollasusa,DXevoChJ5hd,https://www.instagram.com/manoscriollasusa/reel/DXevoChJ5hd/,6099,CARACTERÍSTICA,alta,"Empacando las mejores empanadas de la Florida. 100% maíz, sin conservantes ni aditivos.","Atributos del producto (composición, calidad, alcance de envío). Foco en qué es y dónde llega.",,,,,,,,3.785329835010767,Bajo
Manos Criollas USA,manoscriollasusa,DW5OMnjjYXD,https://www.instagram.com/manoscriollasusa/reel/DW5OMnjjYXD/,5757,VALOR,baja,Gracias a todos los que participaron — la cantidad correcta es de 1050 empanadas.,"Cierre de concurso comunitario con anuncio de ganadores. Activación relacional, no contenido de producto.",,,,,,,,3.760271660542063,Bajo
Manos Criollas USA,manoscriollasusa,DXf3QoADdxl,https://www.instagram.com/manoscriollasusa/reel/DXf3QoADdxl/,4799,CARACTERÍSTICA,media,Bandejas de 100 piezas. Bandejas de 50 piezas.,Mención de presentaciones disponibles del producto. Sin promesa de impacto ni relato.,,,,,,,,3.681241237375587,Bajo
Maquiempanadas,maquiempanadas,DVZ-9KYlOgx,https://www.instagram.com/maquiempanadas/reel/DVZ-9KYlOgx/,134000,VALOR,alta,Visualiza esto: a ti llevándote en tu carro la herramienta que puede transformar tu sueño en producción real.,"Frame aspiracional: el cliente como protagonista de un sueño que se cumple. Empanadas Yoli sirve de prueba narrativa, no como caso de cifras. Lo central es el ""sueño"" del emprendedor.",,,,,,,,5.127108039356311,Alto
Maquiempanadas,maquiempanadas,DWeCUCVCpHK,https://www.instagram.com/maquiempanadas/reel/DWeCUCVCpHK/,76800,VALOR,alta,"Cuando empezamos a trabajar con Andina, esto no existía. Hoy tienen 7 variedades, tallas familiar y coctelero, una página web con portafolio completo.","Caso de cliente narrado como construcción de marca y propósito (""origen y dedicación""). Las cifras existen pero el frame es el camino del emprendedor, no rendimiento técnico.",,,,,,,,4.885366874870763,Medio
Maquiempanadas,maquiempanadas,DTtMUJfjtTG,https://www.instagram.com/maquiempanadas/reel/DTtMUJfjtTG/,68000,BENEFICIO,alta,¿Sabe cuánta plata pierde cuando no está en la fábrica?,"Hook financiero directo + cuerpo sobre control remoto, alertas y reportes para tomar decisiones. La promesa es ""ahora tiene el control"" → impacto sobre la operación y las pérdidas.",,,,,,,,4.832515299342833,Medio
Maquiempanadas,maquiempanadas,DUrb7H_Ae_k,https://www.instagram.com/maquiempanadas/reel/DUrb7H_Ae_k/,63500,BENEFICIO,media,Muchas veces no cambia la receta… cambia la forma. Y lo visual también enamora (y vende).,"Promo del molde corazón enmarcada como diferenciación que vende. El argumento central es vender más por presentación, no la spec del molde.",,,,,,,,4.802780564521303,Medio
Maquiempanadas,maquiempanadas,DUjo66_lRa1,https://www.instagram.com/maquiempanadas/reel/DUjo66_lRa1/,33400,VALOR,alta,¿Fácil? Fácil tu ex. Levantar una empresa de verdad no tiene nada de fácil.,"Caso de @antojosyempanadas como historia de años de esfuerzo, decisiones difíciles y visión clara. Identidad del emprendedor por encima de cualquier cifra.",,,,,,,,4.523759469445714,Medio
Maquiempanadas,maquiempanadas,DUO8ZAYDbL4,https://www.instagram.com/maquiempanadas/reel/DUO8ZAYDbL4/,29700,VALOR,alta,Llevar la lechona a otro continente no es solo llevar un sabor: es llevar una tradición completa.,"Caso de @amparosmadrid2001 con tradición tolimense en Madrid. Aunque menciona forma pareja y crujiente, el frame dominante es la identidad cultural cruzando fronteras.",,,,,,,,4.472771071780873,Medio
Maquiempanadas,maquiempanadas,DUl7WhOiV5l,https://www.instagram.com/maquiempanadas/reel/DUl7WhOiV5l/,16900,BENEFICIO,media,"Si las empanadas son lo que más se vende, la pregunta no es si se vende, sino cómo te diferencias.","Promo del molde corazón sostenida por argumento de diferenciación competitiva (Valentín, Navidad). Promesa: vender mejor en fechas especiales.",,,,,,,,4.227912401751748,Bajo
Maquiempanadas,maquiempanadas,DTjHXZ-kXGe,https://www.instagram.com/maquiempanadas/reel/DTjHXZ-kXGe/,13200,VALOR,media,"Hay viajes que se hacen para mirar, y otros para entender mejor el camino.","Visita de Empanadas El Arranque desde Valledupar narrada como aprendizaje y perspectiva. El argumento es ""ver con tus propios ojos hace que todo cobre sentido"", relación cliente-fábrica más que cifras.",,,,,,,,4.120606831056773,Bajo
Maquiempanadas,maquiempanadas,DSYCLAygVh5,https://www.instagram.com/maquiempanadas/reel/DSYCLAygVh5/,10500,BENEFICIO,alta,Viste el proceso… pero ¿viste todo lo que hay detrás?,"Caso Don José descrito en cifras concretas: 5 sedes, 1.200-1.500 empanadas/hora por máquina, planta tecnificada. La estructura productiva es el argumento central.",,,,,,,,4.021230658479703,Bajo
Maquiempanadas,maquiempanadas,DSvNUXijG-7,https://www.instagram.com/maquiempanadas/reel/DSvNUXijG-7/,9799,VALOR,media,Mira cómo una arepa bien hecha lo dice todo.,"Caso de @masdeliciasantojitostipicos como celebración de la arepa colombiana (""nunca pasa de moda"", ""energía, fibra y nutrientes""). Frame cultural/identitario, no técnico.",,,,,,,,3.9912260756924947,Bajo
Maquiempanadas,maquiempanadas,DUeQkiYAGLk,https://www.instagram.com/maquiempanadas/reel/DUeQkiYAGLk/,8424,BENEFICIO,media,"No estás vendiendo solo sabor. Estás vendiendo un momento, un detalle, una experiencia que conecta con emociones.","Promo del molde corazón con argumento de marketing: emoción y diferenciación que se traducen en ventas. El cierre habla de ""visibilidad, valor y más ventas"".",,,,,,,,3.925569909543376,Bajo
Maquiempanadas,maquiempanadas,DSiAnfoDF5W,https://www.instagram.com/maquiempanadas/reel/DSiAnfoDF5W/,7279,VALOR,alta,"Hoy estamos de fiesta, familia empanadera. 15 años de patentes, de innovación, de sabor y de ustedes.","Aniversario de marca: trayectoria, alcance global, comunidad. Identidad e historia de Maquiempanadas como núcleo, no spec ni promesa al cliente.",,,,,,,,3.862131379313037,Bajo
Maquiempanadas,maquiempanadas,DTYEe18EmJF,https://www.instagram.com/maquiempanadas/reel/DTYEe18EmJF/,5857,VALOR,media,"Así se vivió nuestro Demo en vivo en Manizales: gente en la fábrica, preguntas reales, empanadas hechas en el momento.","Demo presencial enmarcado en valores de marca (""creemos en mostrar, no solo contar""). El argumento es identidad/transparencia más que spec.",,,,,,,,3.76774936734558,Bajo
Maquiempanadas,maquiempanadas,DSQTygGiHdj,https://www.instagram.com/maquiempanadas/reel/DSQTygGiHdj/,5528,BENEFICIO,alta,"Cuando el parche crece, toca responderle como es. Hoy la producción responde con fuerza: hasta 600 empanadas por hora.",Caso @estamos_fritas con cifra concreta de capacidad y argumento de no perder ventas en navidad. Impacto operacional cuantificado.,,,,,,,,3.7426465899387362,Bajo
